hhidde,Sample,Sample_Type,read_count,r1_average_quality,r2_average_quality,unfiltered_closed_otu_count,filtered_closed_otu_count,unfiltered_de_novo_otu_count,filtered_de_novo_otu_count,unfiltered_swarm_otu_count,filtered_swarm_otu_count,sex,age
110,H08143958,Human,31639,30.4,27.6,1063 (0%),496 (0%),3996 (1.38%),1753 (1.94%),2662 (2.07%),1519 (1.71%),Female,55.52361
110,Z08152055,Cooking Area - Inside,34046,31,26.7, (%), (%),3591 (22.92%),1548 (21.38%),2522 (16.69%),1188 (17.68%),,
110,Z08152057,Cow,30546,30.1,26.7, (%), (%),5248 (21.11%),2954 (21.09%),3022 (11.65%),2558 (10.24%),Female,3yrs
110,Z08152058,Chicken,22778,31.4,25.7,273 (0%),203 (0%),1074 (25.61%),501 (22.95%),933 (22.94%),494 (28.14%),Male,Adult
111,H08143961,Human,20701,30.2,27,661 (0%),330 (0%),2036 (1.08%),1238 (1.05%),1496 (0.33%),1117 (0.18%),Female,38.6694
112,H08143964,Human,32950,30.6,26.6,830 (0%),385 (0%),3370 (2.43%),1605 (2.87%),1916 (1.83%),1134 (1.06%),Female,28.09035
112,Z08152032,Cooking Area - Outside,15663,31.1,25.8, (%), (%),955 (17.8%),697 (17.93%),1092 (14.84%),722 (13.43%),,
112,Z08152033,Cow,32381,30.2,27.1,520 (0%),446 (0%),5024 (20.6%),2777 (19.95%),3088 (10.69%),2291 (9.78%),Male,1yr 10 months
112,Z08152034,Chicken,5674,32.9,27.9,52 (0%),45 (0%), (%), (%), (%), (%),Female,Adult
113,H08143673,Human,60934,30.1,26.5,1064 (0%),325 (0%),5813 (1.48%),1544 (1.55%),2539 (2.4%),1063 (1.41%),Male,50.7269
113,Z08161318,Living Space,216493,24.558,23.331, (%), (%),7863 (19.93%),2189 (17.54%),5227 (11.9%),1854 (9.82%),,
113,Z08161330,Chicken,30294,25.9,23.1, (%), (%), (%), (%),728 (69.23%),642 (68.38%),Female,Adult
114,H08143973,Human,961385,28.6,26.8,3024 (0%),484 (0%),28989 (1.43%),1731 (2.83%),9091 (4.34%),1626 (1.78%),Female,51.74538
114,Z08151976,Cooking Area - Inside,14603,30.7,26, (%), (%),2741 (17.8%),2448 (16.46%), (%), (%),,
114,Z08151978,Chicken,215549,30.5,26.2, (%), (%),1761 (75.24%),356 (83.15%),1624 (80.54%),549 (95.26%),Female,Adult
115,H08143677,Human,43181,30.2,27.1,1137 (0%),391 (0%),4530 (0.75%),1591 (0.69%),2404 (0.71%),1268 (0.39%),,
115,Z08161343,Cow,26387,33.3,26.2, (%), (%),5671 (22.32%),2853 (21.1%),3770 (13.53%),2087 (12.03%),Female,2 yrs
116,H08143967,Human,392071,30.9,26.9,1122 (0%),300 (0%),9283 (1.51%),1182 (1.27%),5892 (1.37%),1137 (0.35%),Male,27.07187
116,Z08152012,Living Space,96946,29.735,27.764,1613 (0%),476 (0%),9108 (13.56%),2319 (11.6%),5639 (4.38%),1562 (2.5%),,
117,H08143672,Human,34138,30.2,27.4,1042 (0%),459 (0%),4667 (0.56%),1886 (0.37%),2437 (0.25%),1482 (0.07%),Female,40.44353
117,Z08161320,Cooking Area - Outside,50435,27.5,23.9, (%), (%),4097 (25.21%),2036 (23.48%),2605 (15.59%),1472 (14.33%),,
117,Z08161321,Chicken,227958,31.7,26.8,185 (0%),148 (0%),3833 (78.92%),545 (82.57%),2391 (69.89%),658 (79.03%),Female,Adult
117,Z08161322,Cow,20976,30.2,25.8, (%), (%),4182 (20.49%),3061 (20.88%), (%), (%),Female,5 yrs
118,H08143681,Human,180072,30.2,26.8,2080 (0%),564 (0%),12395 (0.99%),1644 (1.82%),6176 (1.39%),1677 (0.54%),Female,32.39425
118,Z08152047,Cooking Area - Inside,197722,31.2,27.6, (%), (%),12370 (26.25%),1537 (20.82%),5046 (18.45%),705 (18.87%),,
119,H08143979,Human,43138,30.3,27.1,1139 (0%),430 (0%),4705 (1.7%),1683 (1.9%),2542 (2.28%),1300 (1.54%),,
119,Z08151980,Living Space,34608,28.86,26.924, (%), (%),3248 (16.78%),1691 (14.78%),2077 (7.03%),1192 (6.88%),,
119,Z08151981,Cooking Area - Inside,19813,28,24, (%), (%),2157 (7.6%),1893 (7.18%),1540 (3.38%),1272 (3.54%),,
119,Z08151983,Cow,119798,30.1,26.5,844 (0%),571 (0%),12742 (21.35%),3039 (20.14%),8327 (12.72%),2565 (9.98%),Female,4 yrs
120,H08143969,Human,51891,31.3,26.4,887 (0%),395 (0%),4978 (2.11%),1662 (2.11%),2477 (1.41%),977 (1.02%),Female,27.00616
120,Z08152008,Cooking Area - Inside,30030,27.615,26.017,548 (0%),369 (0%),3437 (15.07%),2426 (14.51%),1400 (6.21%),993 (4.23%),,
120,Z08152009,Cow,25076,30.2,26.9, (%), (%),4575 (19.91%),2951 (18.87%), (%), (%),Female,5 yrs
120,Z08152010,Chicken,11919,32.9,26.7, (%), (%),548 (16.79%),450 (17.33%),647 (15.46%),520 (12.88%),Female,Adult
121,H08143674,Human,81132,31.4,26.4,1180 (0%),424 (0%),6626 (1.03%),1744 (0.86%),3040 (0.69%),1049 (0.38%),Female,21.19097
121,Z08161338,Cow,230923,31.2,26.6,667 (0%),324 (0%),16546 (20.51%),2521 (18.56%),15708 (17.5%),2049 (13.81%),Male,2 yrs
122,H08143679,Human,22900,29.9,25.8,830 (0%),454 (0%),2690 (1.34%),1602 (1.75%),2106 (1.23%),1593 (0.75%),Male,23.06366
122,Z08151989,Cow,27415,33.2,27.2, (%), (%),4958 (19.99%),2330 (20%),3225 (13.36%),1710 (11.64%),Female,4 yrs
122,Z08151990,Chicken,44086,30.9,26.6, (%), (%),2191 (58.42%),1090 (62.02%),1748 (53.09%),684 (65.35%),Female,Adult
122,Z08151991,Cooking Area - Inside,74559,30.881,28.829,597 (0%),245 (0%), (%), (%), (%), (%),,
123,H08143676,Human,34085,30.7,26.6,899 (0%),407 (0%),4218 (0.76%),1801 (0.78%),1946 (0.51%),1090 (0.18%),Female,36.36961
123,Z08152043,Cooking Area - Inside,48521,29.756,28.146,1565 (0%),727 (0%),8124 (13.23%),3001 (11%),4286 (2.8%),2156 (2.04%),,
123,Z08152045,Cow,43180,30,26.9,501 (0%),423 (0%),6293 (20.17%),2913 (19.95%),4082 (11.34%),2549 (10.24%),Female,2 yrs
123,Z08152046,Chicken,53383,31,26.7,123 (0%),84 (0%),1493 (16.34%),607 (15.49%),947 (12.99%),354 (18.36%),Female,Adult
124,H08143975,Human,49712,30.1,26,1299 (0%),472 (0%),4961 (1.59%),1738 (1.9%),2983 (0.54%),1511 (0.53%),Female,22.89938
124,Z08152019,Cow,140970,29.7,25.7,849 (0%),492 (0%),13936 (21.71%),3173 (21.46%),8743 (11.57%),2741 (8.72%),Male,2yrs
124,Z08152023,Cooking Area - Inside,68893,30.515,28.573, (%), (%),6910 (21.72%),2083 (21.56%),4281 (12.22%),1347 (12.1%),,
125,H08143971,Human,90926,30.1,27.3,1030 (0%),373 (0%),8629 (0.94%),2009 (0.95%),2824 (0.67%),1017 (0.49%),,
125,Z08151998,Cow,17118,33.8,27.4, (%), (%),4075 (23.21%),2556 (22.18%),2845 (14.59%),1971 (13.95%),Female,6 yrs
125,Z08152006,Cooking Area - Outside,168941,31,27.2, (%), (%),9397 (28.45%),1734 (27.1%),6878 (20.4%),1036 (11.97%),,
126,H08143978,Human,198326,29.9,26.4,1918 (0%),454 (0%),10204 (0.55%),1446 (0.41%),4342 (0.16%),1425 (0%),Female,36.92813
126,Z08151970,Living Space,197308,28.946,27.153,384 (0%),143 (0%),6090 (13.43%),1165 (8.84%),3847 (6.94%),836 (4.67%),,
126,Z08151971,Cooking Area - Inside,25399,30.418,28.018,506 (0%),323 (0%),3294 (16.42%),1997 (16.07%),1483 (6.61%),689 (4.79%),,
126,Z08152000,Cow,38526,30.4,26.9,461 (0%),441 (0%),6403 (21.3%),3099 (21.43%),3887 (11.55%),2663 (10.66%),Female,5 yrs
127,H08143675,Human,12773,30.9,26.2,189 (0%),186 (0%),1008 (0.69%),881 (0.68%),925 (0.11%),744 (0.13%),Male,39.68789
127,Z08161314,Cooking Area - Inside,229195,30.4,26.6, (%), (%),4331 (15.19%),903 (10.96%),5314 (7.04%),1087 (5.61%),,
127,Z08161316,Cow,30478,32.3,26.7, (%), (%),6791 (22.38%),3233 (22.52%),3940 (14.04%),2570 (12.76%),Female,2yrs 8 months
128,H08143959,Human,122361,31.2,27,1220 (0%),393 (0%),8360 (1.71%),1534 (2.15%),4409 (3.11%),1162 (1.89%),,
128,Z08152050,Cow,32071,30.1,27.1, (%), (%),5594 (22.67%),3052 (22.44%),3281 (11.55%),2593 (10.57%),Male,3yrs
128,Z08152052,Cooking Area - Inside,203103,30.483,27.719,1557 (0%),399 (0%),21189 (14.77%),2909 (11.96%),8739 (8.67%),1753 (6.45%),,
128,Z08152053,Living Space,11298,31.6,26.1, (%), (%), (%), (%),1194 (10.39%),942 (7.22%),,
129,H08143944,Human,7551,31.4,26.5,439 (0%),412 (0%), (%), (%), (%), (%),,
130,H08143700,Human,524533,31.1,25.6,1265 (0%),396 (0%),12715 (4.29%),1333 (4.28%),10080 (4.76%),1299 (1.08%),Female,39.85216
130,H08143701,Human,32743,31.1,27.2,931 (0%),495 (0%),3684 (2.55%),1581 (2.85%),2924 (3.04%),1453 (1.93%),Female,24.83778
