hhidde,Sample,Sample_Type,read_count,r1_average_quality,r2_average_quality,unfiltered_closed_otu_count,filtered_closed_otu_count,unfiltered_de_novo_otu_count,filtered_de_novo_otu_count,unfiltered_swarm_otu_count,filtered_swarm_otu_count,sex,age
110,H08143958,Human,31639,30.4,27.6,1063,496,3996,1753,2662,1519,Female,55.52361
110,Z08152055,Cooking Area - Inside,34046,31,26.7,,,3591,1548,2522,1188,,
110,Z08152057,Cow,30546,30.1,26.7,,,5248,2954,3022,2558,Female,3yrs
110,Z08152058,Chicken,22778,31.4,25.7,273,203,1074,501,933,494,Male,Adult
111,H08143961,Human,20701,30.2,27,661,330,2036,1238,1496,1117,Female,38.6694
112,H08143964,Human,32950,30.6,26.6,830,385,3370,1605,1916,1134,Female,28.09035
112,Z08152032,Cooking Area - Outside,15663,31.1,25.8,,,955,697,1092,722,,
112,Z08152033,Cow,32381,30.2,27.1,520,446,5024,2777,3088,2291,Male,1yr 10 months
112,Z08152034,Chicken,5674,32.9,27.9,52,45,,,,,Female,Adult
113,H08143673,Human,60934,30.1,26.5,1064,325,5813,1544,2539,1063,Male,50.7269
113,Z08161318,Living Space,216493,24.558,23.331,,,7863,2189,5227,1854,,
113,Z08161330,Chicken,30294,25.9,23.1,,,,,728,642,Female,Adult
114,H08143973,Human,961385,28.6,26.8,3024,484,28989,1731,9091,1626,Female,51.74538
114,Z08151976,Cooking Area - Inside,14603,30.7,26,,,2741,2448,,,,
114,Z08151978,Chicken,215549,30.5,26.2,,,1761,356,1624,549,Female,Adult
115,H08143677,Human,43181,30.2,27.1,1137,391,4530,1591,2404,1268,,
115,Z08161343,Cow,26387,33.3,26.2,,,5671,2853,3770,2087,Female,2 yrs
116,H08143967,Human,392071,30.9,26.9,1122,300,9283,1182,5892,1137,Male,27.07187
116,Z08152012,Living Space,96946,29.735,27.764,1613,476,9108,2319,5639,1562,,
117,H08143672,Human,34138,30.2,27.4,1042,459,4667,1886,2437,1482,Female,40.44353
117,Z08161320,Cooking Area - Outside,50435,27.5,23.9,,,4097,2036,2605,1472,,
117,Z08161321,Chicken,227958,31.7,26.8,185,148,3833,545,2391,658,Female,Adult
117,Z08161322,Cow,20976,30.2,25.8,,,4182,3061,,,Female,5 yrs
118,H08143681,Human,180072,30.2,26.8,2080,564,12395,1644,6176,1677,Female,32.39425
118,Z08152047,Cooking Area - Inside,197722,31.2,27.6,,,12370,1537,5046,705,,
119,H08143979,Human,43138,30.3,27.1,1139,430,4705,1683,2542,1300,,
119,Z08151980,Living Space,34608,28.86,26.924,,,3248,1691,2077,1192,,
119,Z08151981,Cooking Area - Inside,19813,28,24,,,2157,1893,1540,1272,,
119,Z08151983,Cow,119798,30.1,26.5,844,571,12742,3039,8327,2565,Female,4 yrs
120,H08143969,Human,51891,31.3,26.4,887,395,4978,1662,2477,977,Female,27.00616
120,Z08152008,Cooking Area - Inside,30030,27.615,26.017,548,369,3437,2426,1400,993,,
120,Z08152009,Cow,25076,30.2,26.9,,,4575,2951,,,Female,5 yrs
120,Z08152010,Chicken,11919,32.9,26.7,,,548,450,647,520,Female,Adult
121,H08143674,Human,81132,31.4,26.4,1180,424,6626,1744,3040,1049,Female,21.19097
121,Z08161338,Cow,230923,31.2,26.6,667,324,16546,2521,15708,2049,Male,2 yrs
122,H08143679,Human,22900,29.9,25.8,830,454,2690,1602,2106,1593,Male,23.06366
122,Z08151989,Cow,27415,33.2,27.2,,,4958,2330,3225,1710,Female,4 yrs
122,Z08151990,Chicken,44086,30.9,26.6,,,2191,1090,1748,684,Female,Adult
122,Z08151991,Cooking Area - Inside,74559,30.881,28.829,597,245,,,,,,
123,H08143676,Human,34085,30.7,26.6,899,407,4218,1801,1946,1090,Female,36.36961
123,Z08152043,Cooking Area - Inside,48521,29.756,28.146,1565,727,8124,3001,4286,2156,,
123,Z08152045,Cow,43180,30,26.9,501,423,6293,2913,4082,2549,Female,2 yrs
123,Z08152046,Chicken,53383,31,26.7,123,84,1493,607,947,354,Female,Adult
124,H08143975,Human,49712,30.1,26,1299,472,4961,1738,2983,1511,Female,22.89938
124,Z08152019,Cow,140970,29.7,25.7,849,492,13936,3173,8743,2741,Male,2yrs
124,Z08152023,Cooking Area - Inside,68893,30.515,28.573,,,6910,2083,4281,1347,,
125,H08143971,Human,90926,30.1,27.3,1030,373,8629,2009,2824,1017,,
125,Z08151998,Cow,17118,33.8,27.4,,,4075,2556,2845,1971,Female,6 yrs
125,Z08152006,Cooking Area - Outside,168941,31,27.2,,,9397,1734,6878,1036,,
126,H08143978,Human,198326,29.9,26.4,1918,454,10204,1446,4342,1425,Female,36.92813
126,Z08151970,Living Space,197308,28.946,27.153,384,143,6090,1165,3847,836,,
126,Z08151971,Cooking Area - Inside,25399,30.418,28.018,506,323,3294,1997,1483,689,,
126,Z08152000,Cow,38526,30.4,26.9,461,441,6403,3099,3887,2663,Female,5 yrs
127,H08143675,Human,12773,30.9,26.2,189,186,1008,881,925,744,Male,39.68789
127,Z08161314,Cooking Area - Inside,229195,30.4,26.6,,,4331,903,5314,1087,,
127,Z08161316,Cow,30478,32.3,26.7,,,6791,3233,3940,2570,Female,2yrs 8 months
128,H08143959,Human,122361,31.2,27,1220,393,8360,1534,4409,1162,,
128,Z08152050,Cow,32071,30.1,27.1,,,5594,3052,3281,2593,Male,3yrs
128,Z08152052,Cooking Area - Inside,203103,30.483,27.719,1557,399,21189,2909,8739,1753,,
128,Z08152053,Living Space,11298,31.6,26.1,,,,,1194,942,,
129,H08143944,Human,7551,31.4,26.5,439,412,,,,,,
130,H08143700,Human,524533,31.1,25.6,1265,396,12715,1333,10080,1299,Female,39.85216
130,H08143701,Human,32743,31.1,27.2,931,495,3684,1581,2924,1453,Female,24.83778
130,Z08152229,Cow,42374,30.7,26.4,,,7565,3407,5761,2554,Female,2
130,Z08152232,Cooking Area - Outside,16870,33,26.7,,,2896,1793,2230,1411,,
130,Z08152233,Living Space,41061,29.834,26.703,717,414,6080,2448,2130,1137,,
132,H08143952,Human,129321,30.7,27.1,1992,415,8972,1493,3790,1258,Male,27.43327
132,Z08152106,Cow,117351,31.4,26.6,560,346,14482,2980,12597,2484,Male,3
132,Z08152108,Cooking Area - Inside,53519,30.018,27.289,895,351,4130,1470,2735,951,,
133,H08143955,Human,189775,31.2,27.1,1309,299,10004,1389,4044,984,Female,25.49487
133,Z08152074,Cooking Area - Outside,121757,30.125,27.049,1597,432,,,,,,
133,Z08152075,Living Space,47342,26.401,24.752,1080,649,4900,2697,2743,2005,,
133,Z08152077,Chicken,69637,31,26.4,389,138,2669,804,1775,643,Female,Adult
134,H08143935,Human,536505,29.9,26.8,1598,343,22505,1733,5992,1156,Male,45.37166
134,H08143942,Human,300040,31.1,26.6,1253,297,11401,1127,4331,951,Female,20.46817
134,Z08152134,Cooking Area - Inside,52752,30.41,27.863,745,247,4230,1424,2402,1011,,
134,Z08152136,Cow,55752,31.4,27.3,345,333,10411,3360,5609,2358,Female,3
136,H08143939,Human,51425,31.4,26.7,,,3122,1352,2231,758,Female,45.53593
136,H08143956,Human,99714,31.3,27.2,1369,475,9119,1762,5044,1446,,
136,Z08152118,Living Space,89656,30.3,25.4,,,6230,1556,4792,1195,,
136,Z08152120,Chicken,50570,24.806,23.162,,,1219,732,999,786,Female,Adult
136,Z08152121,Cow,109933,31.3,27,514,331,14639,3161,12647,2596,Male,5
138,H08143682,Human,53878,31.2,26.7,1053,433,5745,1735,3477,1395,,
138,Z08152239,Cow,275798,31.2,26.7,682,400,21859,2850,20666,2380,Male,2
138,Z08152240,Chicken,10099,30.9,26.4,,,,,946,885,Female,Adult
